x,y,shots,
3,72,512,
3,73,506,
3,74,501,
3,75,481,
3,76,479,
3,77,484,
3,78,501,
3,79,517,
3,80,548,
3,81,591,
3,82,633,
3,83,656,
3,84,636,
3,85,594,
3,86,515,
3,87,431,
3,88,346,
3,89,267,
3,90,206,
3,91,144,
4,28,52,
4,29,68,
4,30,87,
4,31,108,
4,32,127,
4,33,151,
4,34,171,
4,35,186,
4,36,211,
4,37,248,
4,38,268,
4,39,310,
4,40,335,
4,41,351,
4,42,382,
4,43,417,
4,44,463,
4,45,501,
4,46,535,
4,47,569,
4,48,597,
4,49,655,
4,50,710,
4,51,752,
4,52,808,
4,53,809,
4,54,824,
4,55,839,
4,56,850,
4,57,844,
4,58,842,
4,59,819,
4,60,790,
4,61,768,
4,62,756,
4,63,736,
4,64,710,
4,65,696,
4,66,672,
4,67,648,
4,68,649,
4,69,645,
4,70,628,
4,71,640,
4,72,624,
4,73,615,
4,74,594,
4,75,597,
4,76,608,
4,77,615,
4,78,642,
4,79,693,
4,80,736,
4,81,790,
4,82,833,
4,83,844,
4,84,826,
4,85,763,
4,86,668,
4,87,546,
4,88,443,
4,89,325,
4,90,251,
4,91,172,
5,28,69,
5,29,93,
5,30,117,
5,31,145,
5,32,172,
5,33,201,
5,34,214,
5,35,237,
5,36,257,
5,37,293,
5,38,323,
5,39,360,
5,40,379,
5,41,411,
5,42,444,
5,43,474,
5,44,526,
5,45,566,
5,46,625,
5,47,654,
5,48,687,
5,49,741,
5,50,817,
5,51,855,
5,52,912,
5,53,898,
5,54,938,
5,55,944,
5,56,950,
5,57,971,
5,58,994,
5,59,953,
5,60,927,
5,61,894,
5,62,875,
5,63,843,
5,64,820,
5,65,813,
5,66,787,
5,67,754,
5,68,760,
5,69,751,
5,70,722,
5,71,733,
5,72,717,
5,73,704,
5,74,698,
5,75,714,
5,76,738,
5,77,768,
5,78,799,
5,79,854,
5,80,925,
5,81,983,
5,82,1025,
5,83,1052,
5,84,1014,
5,85,913,
5,86,804,
5,87,659,
5,88,521,
5,89,381,
5,90,281,
5,91,199,
6,28,87,
6,29,116,
6,30,145,
6,31,186,
6,32,212,
6,33,243,
6,34,266,
6,35,281,
6,36,297,
6,37,340,
6,38,367,
6,39,418,
6,40,446,
6,41,467,
6,42,504,
6,43,529,
6,44,566,
6,45,617,
6,46,665,
6,47,730,
6,48,763,
6,49,813,
6,50,874,
6,51,939,
6,52,989,
6,53,1028,
6,54,1044,
6,55,1069,
6,56,1074,
